text,ID,genre,filename,C1_agency,C1_event,C1_world,C1_overall,C2_agency,C2_event,C2_world,C2_overall,C3_agency,C3_event,C3_world,C3_overall,SPACE,avg_agency,avg_event_seq,avg_worldmaking,avg_overall,maxdiff_agency,maxdiff_es,maxdiff_wm,maxdiff_overall,avg_maxdiff,AD
"- .~
hi -
fâ€˜. w
HUMMINGBIRDS. 215


[Nest of the Humming bi: d | -
may with great propriety place here the smallest
and prettiest nests with which we are acquainted, those
of the hummingbirds, with whose appearance many of
our readers may be familiar, as they are by no means uncommon
in museums â€” their extreme neatness of execution,
and their minute size, causing them to be highly
prized. By far the best description of these which we
ave met with, is that by Wi son of the red throated
hummingbird. â€œAbout the 25th of April, â€ he says,
â€œthe hummingbird usually arrives in Pennsylvania, and
about the 10th of May begins to build its nest.",5,19CNONFIC,19CNONFIC_5S_chi-086857689-norm.txt,3,4,4,3.666666667,2,2,2,2,2,2,3,2.333333333,,2.333333333,2.666666667,3,2.666666667,1,2,2,1.666666667,1.666666667,0.666666667
",22 For ndvertisinir J'Tid other expermos incident to funding treas

23 ury notes, three hundred thousand dollars, ($30'). 000.) 24 For incidental and contingent expenses of the treasury service

25 west of the Mississippi river, twenty thousand dollars, ($20,000.) 26 For travelling and other expenses incident to the detection of

27 persons engaged in prepai ing and j assing forged treasury notes,

28 five thousand dollars, ($5, (Â»00.) 29 For salary, clerk hire, and other expenses of agent of Er *

langer loan, in Paris, ten thousand dollars, ($10,000.)",61,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t2q53cp26-norm.txt,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,0,0,0,0
";
For the particulars of the warfare carried on between the
British and the Kandyans, and the subjugation of the interior
by the former, see the article Kandy. (Cordiner, Knox,
Philalethes, ftc.) Chilaw, a district extending along the northwest coast
from the mouth of the Maba oya to the channel near Odepen
karre, and bounded on the east by the Kandyan provinces. It is 32 miles long, and 8 broad in the widest part. It consists
of five Pattoos, or provinces, â€” Anewulundanpattoo, containing
29b'5 inhabitants; Monesserampattoo, 1703 ; Yagam
pattoo, 3088; Ottarapalatta, 2512 ; Meddepalatta, 1017; and
Kaymelpattoo 2289; making a total population of 13,675 souls,
of whom almost the whole are Singhalese.",90,19CNONFIC,19CNONFIC_5S_hvd-32044009984873-norm.txt,2,2,4,2.666666667,2,1,3,2,2,1,2,1.666666667,,2,1.333333333,3,2.111111111,0,1,2,1,1,0.37037037
".\
The lower hackle feathers and those of the saddle should
both end with a black spangle, not necessarily sharply
defined, but somewhat rayed in appearance; the plumage
of the back, also, should have spangles of black on the
end of each feather. These spangles are more apparent
when feathers are examined separately, and the more
firmly feathers are in their places, the better. Feathers
loosely set on do not show the starry or rayed spangles
to advantage. The feathers of the breast and body should
each end with a large moon or spangle, round, greenish
black in colour, sharply defined and separate to appearance. When the feathers on the breast do not hold their
proper places, or when the spangles are oblong, they join
each other in patches of black, thus injuring the appearance
of the cock very materially.",24,19CNONFIC,19CNONFIC_5S_coo-31924003689696-norm.txt,1,4,5,3.333333333,1,1,4,2,1,2,4,2.333333333,,1,2.333333333,4.333333333,2.555555556,0,3,1,1.333333333,1.333333333,0.518518519
""" There's not much trying needed on
one side, I believe, "" Mr. Pickering said
slily, "" Glaisdale goes constantly to Hollow
Mill; and more than once I have met the
groom riding there with flowers; it seems
to me possible that Runswick may prefer
to marry his niece to our Squire."" G 2


Mrs. Pickering shook her head, no one
but herself ever could give the correct
solution to any puzzle.

"" It is not that only, that strange man
will always run counter to every oue else,
you may be quite sure if the girl had
preferred Mr. Glaisdale, Mr. Runswick
would have set himself against the match. Do you suppose Glaisdale knows of the
girl's attachment?"" The Vicar shook his head.

""",78,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t7gq7nw7v-norm.txt,5,5,4,4.666666667,5,4,4,4.333333333,4,2,3,3,,4.666666667,3.666666667,3.666666667,4,1,3,1,1.666666667,1.666666667,0.666666667
"""Blessed are ye, when men shall revile you,
and persecute you, and shall say all manner of
evil against you falsely for my sake. Rejoice
and be exceeding glad; for great is your
reward in heaven; for so persecuted they the
prophets which were before yoH. â€” And the
brother shall deliver the brother to death, and
the father the child; 'and the children shall
rise up against their parents, and cause them
to be put to death. And ye shall be hated of
all men for my name's sake. The diseiple is
Luke 23.",91,19CNONFIC,19CNONFIC_5S_hvd-32044010076164-norm.txt,3,4,2,3,2,2,1,1.666666667,2,1,2,1.666666667,,2.333333333,2.333333333,1.666666667,2.111111111,1,3,1,1.333333333,1.666666667,0.592592593
"""But it is not capacity alone you are to consult when you talk with misses of the TON; were their understandings only to be considered, they would indeed be wonderfully easy of access! in order, therefore, to render their commerce somewhat difficult, they will only be pleased by an observance of their humours: which are ever most various and most exuberant where the intellects are weakest and least cultivated. I have, however, a receipt which I have found infallible for engaging the attention of young ladies of whatsoever character or denomination."" ""O, then,"" cried Cecilia, ""pray favour me with it, for I have here an admirable opportunity to try its efficacy."" ""I will give it you,"" he answered, ""with full directions.",602,NOVEL19C,NOVEL19C_5S_1-EN_1782_Burney-Fanny_Cecilia_Novel.txt,2,2,1,1.666666667,2,2,2,2,1,1,1,1,,1.666666667,1.666666667,1.333333333,1.555555556,1,1,1,1,1,0.37037037
"""By â€“â€“â€“â€“ yes; as dead as a herring,"" said Mr. Ratler, who at that moment, however, was not within hearing of either of the ladies present. And then he rubbed his hands, and looked as though he were delighted. And he was delighted,â€”not because his old friend Sir Everard was dead, but by the excitement of the tragedy. ""Having done so good a deed in his last moments,"" said Laurence Fitzgibbon, ""we may take it for granted that he will go straight to heaven."" ""I hope there will be no crowner's quest, Ratler,"" said Mr. Bonteen; ""if there is I don't know how you'll get out of it.""",666,NOVEL19C,NOVEL19C_5S_1-EN_1869_Trollope-Anthony_PhineasFinn_Novel.txt,4,2,2,2.666666667,4,3,4,3.666666667,3,2,2,2.333333333,,3.666666667,2.333333333,2.666666667,2.888888889,1,1,2,1.333333333,1.333333333,0.518518519
"""By-and-by,"" said he at lengthâ€”""time enoughâ€”home by-and-by."" I had expected a similar reply, but there was something in the tone of these words which filled me with an indescribable feeling of dread. I again looked at the speaker attentively. His lips were perfectly livid, and his knees shook so violently together that he seemed scarcely able to stand. ""For God's sake, Augustus,"" I screamed, now heartily frightened, ""what ails you?â€”what is the matter?â€”what are you going to do?""",638,NOVEL19C,NOVEL19C_5S_1-EN_1838_Poe-EdgarAllen_TheNarrativeofArthurGordonPym_Novel.txt,4,4,4,4,3,3,5,3.666666667,2,1,2,1.666666667,,3,2.666666667,3.666666667,3.111111111,2,3,3,2.333333333,2.666666667,0.962962963
"""From all the friends of Greece, the Philo muse Society
""requests subscriptions. It begs of all such to address it,
""either through its secretary at Athens, or through the
""Greek committees. The Society will give every publicity
to its measures and to its accounts. ""I am,
""Yours, cu

""Secretary to the P. M. S. at Athens."" ""To the Editor of the
After this statement has been circulated here, it should, I
think, be forwarded to all the Greek committees for publication
in the papers in various parts of the world.",103,19CNONFIC,19CNONFIC_5S_hvd-32044011843646-norm.txt,2,2,1,1.666666667,2,1,2,1.666666667,2,2,2,2,,2,1.666666667,1.666666667,1.777777778,0,1,1,0.333333333,0.666666667,0.148148148
